loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_range_low,fico_range_high,loan_status,credit_risk
30551,36 months,14.608166178992041,314.9165902433854,G,1 year,MORTGAGE,97536.41410133579,Not Verified,small_business,30.093407119115398,0,731,762,Fully Paid,0
31382,60 months,21.991182067326747,506.11540976288927,C,1 year,RENT,83009.63720171998,Source Verified,small_business,36.463649112245065,1,683,698,Fully Paid,0
5189,36 months,10.456347196626604,986.4906905267876,E,<1 year,OTHER,23492.795025841588,Verified,small_business,22.16504653433097,4,777,883,Fully Paid,1
24118,36 months,28.749029598755634,794.8112286789914,G,10+ years,OTHER,69462.64511409466,Not Verified,small_business,21.08589177196722,4,714,784,Fully Paid,0
8005,36 months,24.6586253603888,124.45067910300384,F,1 year,RENT,33796.32611382941,Source Verified,car,30.558527853024717,2,647,678,Fully Paid,1
26042,36 months,7.235275057806488,158.68413213444285,D,10+ years,RENT,89076.38812785038,Source Verified,credit_card,0.20315251902908837,0,722,697,Fully Paid,0
6899,36 months,15.43951939462321,517.5382391310995,C,1 year,OWN,71451.098355856,Verified,credit_card,36.710345705406425,3,677,870,Fully Paid,1
29118,36 months,26.97795768905412,918.2981852754042,A,10+ years,OWN,99709.74844339232,Verified,credit_card,7.8979526836452685,0,629,662,Fully Paid,0
6267,60 months,28.618300557285256,584.8316181574428,F,2-4 years,OWN,124728.28844013099,Verified,car,39.36475535304949,4,628,652,Fully Paid,0
22912,60 months,16.68503778124674,548.0312572308612,D,10+ years,MORTGAGE,58956.9288993938,Not Verified,credit_card,29.450157918418487,2,735,651,Fully Paid,1
16394,36 months,20.335284730267695,194.9263299609675,D,10+ years,OWN,145073.2735414536,Source Verified,car,30.97004590802684,1,739,665,Fully Paid,1
8556,36 months,9.17584865230188,691.1020942518646,C,<1 year,OTHER,89632.48507638468,Source Verified,car,26.248119214944264,0,640,743,Fully Paid,0
8890,36 months,29.779215653424412,839.892844540203,D,2-4 years,MORTGAGE,100377.80383812243,Source Verified,car,18.86652731140641,4,829,751,Fully Paid,1
13838,60 months,10.791792534586085,442.3780067568061,C,5-9 years,OWN,108487.40851934582,Verified,credit_card,22.865107734446617,3,625,783,Fully Paid,0
32464,60 months,28.568294353378143,798.0506658327947,G,<1 year,MORTGAGE,106675.09888148667,Source Verified,home_improvement,1.8561154406050262,2,649,694,Fully Paid,1
19502,60 months,21.241166224809213,968.0289885107304,B,5-9 years,OTHER,86426.19659585807,Not Verified,credit_card,24.95838037728057,1,601,720,Fully Paid,0
26777,60 months,20.19341987197148,283.3898132149202,F,1 year,OWN,75739.35784490885,Verified,credit_card,25.04392407948187,0,654,782,Fully Paid,0
15627,60 months,17.817212775412713,570.9966680752672,E,5-9 years,OTHER,26991.655343059127,Verified,small_business,35.64803189607238,3,703,705,Fully Paid,0
13792,60 months,10.766745292943966,358.424162276118,B,10+ years,OTHER,22871.159889153365,Verified,car,20.226254297208776,1,783,848,Fully Paid,0
15555,60 months,9.413200800137707,813.5689771304554,F,5-9 years,OTHER,66534.95528925941,Verified,home_improvement,3.0857749634424403,4,613,875,Fully Paid,1
15253,60 months,10.512155226754384,619.8340292930418,C,<1 year,OWN,63375.91578238004,Not Verified,small_business,12.247836819283249,4,733,776,Fully Paid,0
13433,60 months,9.660956553606363,671.1241757952733,F,<1 year,RENT,70400.37012907089,Source Verified,home_improvement,26.2251764845727,3,833,681,Fully Paid,0
15233,36 months,24.489611839168834,818.1227436543047,G,5-9 years,OWN,37987.8661154647,Not Verified,home_improvement,9.570354510058557,4,727,698,Fully Paid,0
16016,36 months,13.753131479168253,456.37342539620937,C,<1 year,OTHER,115961.87516978968,Source Verified,car,11.221112874216036,2,703,662,Fully Paid,0
28897,36 months,6.446066914084909,923.5810615663389,B,<1 year,OWN,131405.37392091105,Not Verified,credit_card,32.818760654434136,3,694,807,Fully Paid,0
7612,36 months,29.227565753520285,579.725980521526,A,5-9 years,OTHER,142032.90259862455,Verified,car,23.37278927050836,4,680,674,Fully Paid,0
28425,60 months,27.094647124085643,242.15934055181322,A,2-4 years,RENT,84007.09945755136,Verified,car,20.3410972709429,0,816,862,Current,1
30939,60 months,28.193807079880322,726.3092063519222,F,2-4 years,MORTGAGE,111112.54088630572,Not Verified,small_business,12.738078672232174,4,660,709,Current,0
27619,36 months,29.872695566160882,813.935215394429,A,1 year,RENT,131221.6460466634,Not Verified,car,29.237121437321335,2,823,708,Fully Paid,0
26870,60 months,9.347381230487184,385.085509360774,C,<1 year,RENT,74377.84444215317,Source Verified,credit_card,11.508737379601172,1,611,862,Fully Paid,1
28483,36 months,14.906050472566468,871.4613312988777,D,5-9 years,MORTGAGE,60223.66333315777,Not Verified,home_improvement,29.482540705767008,1,840,805,Fully Paid,0
31054,60 months,23.955961892602282,915.5289292891898,C,<1 year,OWN,141774.1922609537,Not Verified,car,2.8040592106976803,4,612,889,Fully Paid,1
20787,36 months,22.400515451344805,349.21403864002804,D,10+ years,MORTGAGE,87037.9516400195,Source Verified,home_improvement,34.58165366328335,1,746,707,Charged Off,1
32132,60 months,8.847397658496376,985.1693254436999,B,<1 year,OWN,84643.00525681414,Source Verified,car,19.982658535037313,4,771,669,Current,0
22159,60 months,25.395828124765444,226.64037524388257,E,<1 year,OWN,43194.09255325445,Source Verified,home_improvement,17.5403206679588,2,839,811,Fully Paid,0
17206,36 months,10.611014295916517,281.814101562241,D,2-4 years,OTHER,34060.15189453638,Not Verified,car,24.44093646167698,1,688,782,Fully Paid,0
13226,60 months,10.595440370565576,265.8023553142235,A,5-9 years,OTHER,129473.89212285652,Source Verified,small_business,24.967682915850816,0,694,859,Fully Paid,0
19541,36 months,18.42436057233534,904.5907390070834,C,<1 year,MORTGAGE,99837.31290437735,Verified,home_improvement,5.281407075599822,4,658,837,Fully Paid,1
8152,36 months,19.82349837104258,688.8632970924657,B,2-4 years,RENT,62357.19592252833,Verified,car,30.24934359264853,1,636,880,Charged Off,0
31531,36 months,19.502155195945278,236.8938549000456,A,1 year,MORTGAGE,44925.70826073464,Verified,car,11.037131918002515,2,624,820,Charged Off,0
6585,36 months,7.287170934943871,496.2910765315141,B,2-4 years,OWN,92214.64642205209,Not Verified,small_business,36.19847520679656,2,615,706,Fully Paid,0
8943,60 months,26.93652156575951,653.7682225628218,E,2-4 years,OTHER,95909.5076039476,Verified,small_business,32.7140265365933,0,848,834,Fully Paid,0
28939,60 months,11.640001064717652,175.11767649044498,G,2-4 years,MORTGAGE,46909.16816185756,Not Verified,small_business,13.85064166138994,2,765,852,Fully Paid,0
24457,60 months,8.237873032070105,894.1747315666048,C,<1 year,MORTGAGE,130682.74722589161,Not Verified,home_improvement,32.30957172802858,2,770,703,Fully Paid,1
6021,36 months,27.21870199672443,823.2431818973816,F,<1 year,OTHER,30954.36760026064,Verified,home_improvement,14.255619971996168,1,840,858,Charged Off,0
16653,60 months,28.891287455743836,554.6860962189744,C,1 year,OTHER,66292.10107163482,Source Verified,small_business,4.037907265441625,4,849,761,Fully Paid,0
15805,36 months,26.553190431636267,970.4139537332534,E,10+ years,OTHER,108449.97378912788,Not Verified,credit_card,38.475529549028316,3,686,822,Fully Paid,0
18417,60 months,25.237901868121952,475.98488134758975,C,10+ years,OWN,55635.64729649609,Verified,credit_card,26.1040806086176,2,741,735,Fully Paid,1
25227,60 months,21.381049515975544,985.699287132848,F,10+ years,OTHER,127597.77532156534,Not Verified,car,18.243981066503668,2,733,686,Charged Off,0
12989,60 months,18.771434265228482,701.1279989232644,D,1 year,RENT,116182.81745805245,Source Verified,credit_card,15.910934061241587,3,816,733,Fully Paid,1
14692,36 months,7.174668997785254,671.2041459285473,B,10+ years,MORTGAGE,122572.96979125745,Source Verified,car,12.98821337033056,2,622,697,Charged Off,0
17990,60 months,15.211330326767468,249.3594057662065,F,10+ years,OTHER,35483.84966397312,Verified,home_improvement,39.25790381716517,1,725,767,Charged Off,1
11873,60 months,14.31721292530785,893.7349824741796,A,2-4 years,OTHER,38271.12663942058,Not Verified,home_improvement,5.389890605236296,1,659,831,Charged Off,0
10675,36 months,11.493844594008156,484.7407191285536,E,<1 year,OWN,57241.58590679587,Not Verified,credit_card,12.592202356822732,3,834,697,Fully Paid,0
5161,60 months,23.085502842214623,246.0100652042314,D,<1 year,OWN,87350.03147568295,Not Verified,home_improvement,19.41990561130654,2,739,761,Fully Paid,0
9297,36 months,17.39689337696927,111.34676797818314,A,2-4 years,MORTGAGE,117242.08997092232,Not Verified,small_business,19.119981802172457,2,740,759,Fully Paid,0
31557,60 months,7.026155397691198,603.7801152745443,A,2-4 years,RENT,128749.01579891745,Verified,small_business,18.854659376313737,4,699,655,Fully Paid,0
5995,36 months,10.504580048745282,574.6596599104087,E,2-4 years,MORTGAGE,111563.59107443345,Source Verified,credit_card,7.031352633215273,2,702,811,Fully Paid,0
34487,36 months,22.081469091489897,747.4182601322427,D,<1 year,OTHER,140717.594598983,Verified,credit_card,5.797301084380022,1,825,840,Fully Paid,0
16534,60 months,6.903271487257505,901.2322477160219,G,10+ years,RENT,116036.65625007094,Not Verified,car,10.190703453144803,0,733,727,Fully Paid,0
34127,36 months,26.280172851219216,171.46592617872656,A,2-4 years,RENT,59814.82531059991,Not Verified,home_improvement,36.581046152082244,0,662,825,Charged Off,1
12629,36 months,17.37866317534936,758.3468413063262,A,1 year,RENT,54460.56696401443,Source Verified,car,4.522118713380405,0,637,672,Fully Paid,0
33374,36 months,17.0146644331662,268.670749687824,D,2-4 years,RENT,110505.01853914169,Not Verified,car,30.29700413493299,0,727,775,Fully Paid,1
30851,36 months,19.81019461648794,872.3593478414476,C,5-9 years,MORTGAGE,45073.173929649856,Verified,small_business,30.30193572533485,2,649,733,Fully Paid,0
6016,36 months,25.617024148128728,837.1571624754905,A,2-4 years,OWN,32052.925405335085,Verified,small_business,32.39081615589049,2,779,662,Fully Paid,0
29253,36 months,13.695230197554826,586.71437948699,B,<1 year,OWN,89188.9737313052,Source Verified,small_business,35.46461955957422,4,639,696,Charged Off,0
27823,60 months,21.95040381397659,739.2185187609804,D,2-4 years,OTHER,126813.40407126419,Verified,small_business,10.52144710155721,2,607,693,Fully Paid,0
29276,36 months,19.143299099894776,382.9151018653736,A,5-9 years,OWN,33179.37952108226,Verified,car,8.982378770755854,0,788,754,Charged Off,1
28247,36 months,11.675706754235533,524.0511090395332,E,1 year,OWN,122945.8720934448,Verified,small_business,18.62022666109919,3,607,809,Fully Paid,0
29300,60 months,26.96574965887895,839.4732079394245,F,10+ years,OWN,125504.36056570125,Verified,home_improvement,10.603566750081445,3,703,803,Fully Paid,1
13529,60 months,24.935650540173203,513.3386774558926,B,2-4 years,OWN,82695.62001060066,Not Verified,small_business,29.3723995593243,1,824,891,Fully Paid,1
22262,60 months,21.461295866460638,422.0184387928976,F,5-9 years,OTHER,27450.340301363285,Verified,small_business,25.437583069657347,1,633,830,Fully Paid,0
14268,60 months,26.264543227356047,544.7912025252699,F,5-9 years,MORTGAGE,42696.68066213423,Source Verified,small_business,34.99950752210606,2,835,663,Fully Paid,1
26271,60 months,26.682355023995058,845.4243271934965,A,1 year,RENT,111965.41577105121,Source Verified,credit_card,3.3095321394828625,3,806,829,Fully Paid,0
17185,60 months,22.70907441787587,401.68724263378544,B,<1 year,OWN,112531.13284882343,Verified,home_improvement,36.60333333432299,0,827,770,Fully Paid,1
26243,60 months,25.9253332090918,256.3854338221694,B,2-4 years,MORTGAGE,136786.1857717965,Source Verified,home_improvement,11.733945066803582,0,787,685,Fully Paid,1
11331,36 months,22.43678654173209,740.8126182977027,C,5-9 years,OWN,95749.19905209576,Verified,car,19.62777383707936,0,656,657,Fully Paid,0
13571,36 months,22.00351929400751,843.3803914372736,F,1 year,OWN,36133.95780279106,Source Verified,car,17.54445743758575,2,826,817,Charged Off,1
30068,60 months,20.46528445537961,190.57373067118,B,10+ years,RENT,35783.937715646374,Source Verified,small_business,30.412466044176956,2,773,863,Fully Paid,0
12208,36 months,23.81791598894103,315.8867014803502,C,5-9 years,RENT,113747.20645638708,Verified,credit_card,16.813332377273703,4,621,799,Fully Paid,0
10276,36 months,8.965127632326842,227.7747907848945,D,1 year,RENT,43892.006464027145,Verified,car,37.74212582597637,0,686,665,Fully Paid,0
23446,36 months,27.02176897997321,413.14727042395,C,<1 year,OWN,62690.1149501587,Not Verified,car,36.10135530554302,0,639,740,Charged Off,0
33460,60 months,26.7960881936308,505.31588101487137,E,<1 year,OWN,83337.56089984882,Verified,small_business,34.88644607878026,2,772,769,Charged Off,0
21448,60 months,5.731182075863979,773.9437032669758,G,5-9 years,OWN,23219.434084899658,Verified,small_business,2.850333305929116,2,782,837,Fully Paid,1
21216,36 months,25.645418764119068,686.0328263935068,A,5-9 years,RENT,52346.47351259114,Not Verified,car,34.17032246215758,4,778,709,Fully Paid,0
13006,60 months,8.22174668683613,658.8357107305881,D,2-4 years,OTHER,73025.64910594642,Verified,car,31.26541781772842,4,685,659,Fully Paid,0
7568,36 months,13.377971356478547,417.137451948689,G,1 year,MORTGAGE,56352.72140411681,Verified,home_improvement,4.14051788024524,1,732,802,Current,0
26847,36 months,23.587706407290195,857.3027977762839,G,5-9 years,OTHER,37728.14257078356,Not Verified,credit_card,4.296573017448875,3,694,680,Charged Off,0
34824,36 months,9.018997401207706,524.1584506583481,D,2-4 years,OWN,114641.59351350566,Verified,home_improvement,4.046552460701647,0,612,670,Charged Off,1
7027,36 months,25.449175602976556,981.194444213639,E,2-4 years,OWN,125709.19517183804,Verified,car,0.4533037281795016,0,627,868,Fully Paid,1
7695,60 months,25.803354448943548,670.7279244661631,C,5-9 years,OTHER,53472.266898684225,Not Verified,home_improvement,21.945372207783343,4,849,730,Fully Paid,1
31071,60 months,17.686693344020906,213.63826740805246,A,<1 year,OWN,120674.53429881943,Not Verified,home_improvement,38.935771657441734,4,683,682,Charged Off,0
20422,60 months,5.15964679292084,708.5598058678906,C,1 year,MORTGAGE,70121.96337217081,Source Verified,car,17.547388115991744,1,824,680,Fully Paid,0
10258,36 months,12.17595332937282,392.5936138885291,B,1 year,OWN,85869.15281102037,Verified,small_business,21.630300075494254,3,807,891,Fully Paid,1
27002,60 months,20.423172959393554,717.6944770174877,C,<1 year,MORTGAGE,131280.13973610988,Source Verified,car,38.71879187079822,1,661,883,Fully Paid,1
11736,36 months,29.529654450685587,162.67703334616516,D,5-9 years,OTHER,117493.97863431303,Source Verified,small_business,10.207289150969228,3,692,867,Charged Off,0
5391,60 months,20.79533817541671,257.3932934583635,A,1 year,OTHER,124665.1906711031,Not Verified,car,34.33881010393052,0,686,798,Fully Paid,0
18986,36 months,11.495089526603994,870.1635330152077,C,5-9 years,OWN,37789.87165622639,Verified,car,21.855618688469445,1,623,685,Fully Paid,1
34090,36 months,20.85014257749028,304.4616013211634,A,5-9 years,MORTGAGE,29063.52535838483,Verified,car,22.77906058652043,4,697,842,Fully Paid,1
17666,36 months,18.499634492896387,853.3370127186461,A,2-4 years,OWN,136142.61478143831,Not Verified,credit_card,13.726954288291342,1,606,781,Fully Paid,0
10892,60 months,24.49613487877859,351.3484796089694,B,<1 year,RENT,70418.45504424226,Source Verified,small_business,22.463374438676325,1,765,717,Fully Paid,1
8561,60 months,7.67451597067396,678.5937190528368,B,5-9 years,RENT,57424.35814905851,Not Verified,credit_card,2.9257003791313574,0,636,739,Fully Paid,0
31854,60 months,24.0256975625507,724.7355161588479,D,10+ years,RENT,114210.51305403719,Verified,car,30.585742904564487,4,667,781,Fully Paid,0
11184,60 months,18.531664466902757,561.3892778305476,E,<1 year,RENT,128734.02755538137,Not Verified,home_improvement,11.387510461770866,4,825,890,Fully Paid,0
24483,36 months,29.074800096474867,374.77960902705814,G,1 year,OWN,132123.6508467791,Verified,credit_card,35.5043331797582,2,769,658,Current,0
27662,60 months,13.546804150967152,291.3799387339865,A,2-4 years,RENT,61079.628346279555,Source Verified,small_business,14.714027784298338,2,685,679,Charged Off,0
13392,60 months,20.815547328348703,129.8704191061836,E,1 year,MORTGAGE,130787.61085621762,Verified,car,5.712964419475304,2,732,764,Fully Paid,0
18067,36 months,28.300702637750437,373.55176111665145,G,1 year,OTHER,25321.4127686649,Source Verified,credit_card,27.8352629747394,0,791,694,Charged Off,0
20265,36 months,7.562743199766981,687.8465114781548,G,<1 year,OTHER,26455.993889763453,Source Verified,home_improvement,6.583125788540114,1,777,653,Fully Paid,1
24488,36 months,28.43071218091128,944.4743366036344,D,1 year,RENT,101057.49537264007,Verified,credit_card,30.14722062171962,4,833,718,Fully Paid,1
28599,60 months,22.197143057520332,884.0840340367469,G,5-9 years,RENT,28203.82798502101,Verified,small_business,38.72448945624466,4,686,886,Fully Paid,0
34174,36 months,6.695926477629298,789.4582988817723,G,1 year,RENT,62199.191906321,Source Verified,credit_card,31.18211475181047,1,845,672,Fully Paid,0
7454,36 months,12.524089173670406,809.6026089279688,A,2-4 years,OWN,107458.27821210012,Not Verified,home_improvement,0.897969937252987,4,614,665,Fully Paid,1
16837,36 months,22.70430221613204,698.4864131283957,A,2-4 years,OTHER,63844.69648704942,Verified,home_improvement,23.995431522110987,1,822,671,Fully Paid,0
19039,60 months,6.683765036719293,334.2581718094027,F,10+ years,RENT,43347.971587212465,Source Verified,small_business,27.81642683878897,0,722,878,Fully Paid,1
30380,36 months,19.55426150440683,916.4755276352469,E,2-4 years,MORTGAGE,56575.58084099941,Source Verified,home_improvement,33.018333031851405,0,800,721,Fully Paid,1
24115,60 months,13.647076423823918,703.6590807152506,C,1 year,RENT,79484.79319255613,Not Verified,car,2.2400923575600062,0,706,697,Fully Paid,0
15965,60 months,20.522887944186927,604.396567882396,B,2-4 years,OTHER,81800.16119621272,Verified,home_improvement,19.204313118091456,1,849,839,Fully Paid,1
29538,36 months,6.143550845312822,199.89052229213297,C,<1 year,RENT,121790.03007513625,Source Verified,car,21.414834905535773,1,780,874,Fully Paid,1
14762,36 months,26.788420153809408,502.3499894257829,E,2-4 years,OTHER,117519.91982609662,Not Verified,credit_card,6.764994505767121,3,752,896,Fully Paid,0
10056,60 months,29.337224229434923,514.3224440817337,B,5-9 years,RENT,79386.31459229757,Source Verified,car,12.897992388425985,4,688,837,Fully Paid,0
19948,36 months,29.22194638214229,878.1072485704029,C,<1 year,MORTGAGE,129936.75538284027,Verified,car,17.608869050246607,4,724,879,Fully Paid,0
13110,36 months,23.74129579357312,591.9833981690097,F,10+ years,RENT,34850.82801688146,Not Verified,credit_card,33.328387518312056,3,712,756,Fully Paid,0
18773,60 months,8.2521560032658,442.36049407336867,B,5-9 years,MORTGAGE,53195.9355297572,Source Verified,home_improvement,37.176302642808274,3,812,857,Fully Paid,0
32266,60 months,23.956579898225563,979.1202956595934,A,1 year,MORTGAGE,127636.94025529269,Not Verified,car,25.136913156706914,0,736,782,Charged Off,0
25224,36 months,5.614672911470038,199.6485339936841,C,1 year,RENT,69139.2250213999,Verified,home_improvement,15.797807440858485,3,846,857,Charged Off,0
22412,60 months,5.553088788224931,480.29358548075015,B,1 year,MORTGAGE,147553.6026431995,Not Verified,credit_card,10.161240711959438,1,839,656,Charged Off,1
28769,36 months,13.09025547873853,137.82220765426476,F,5-9 years,OWN,80612.9265986186,Verified,small_business,39.28540737744602,2,765,700,Fully Paid,0
5502,36 months,17.216079760116642,765.9137086902373,G,5-9 years,RENT,122951.63098528933,Source Verified,home_improvement,39.32079992305434,1,749,714,Fully Paid,0
11910,36 months,24.26018544519483,926.2688969792356,B,5-9 years,RENT,72299.91537970834,Verified,home_improvement,36.99907792940139,3,706,658,Current,0
17685,60 months,22.08238441516263,352.0335965954405,B,<1 year,MORTGAGE,75243.95747811595,Source Verified,small_business,31.426765995112767,4,686,731,Fully Paid,0
30446,36 months,16.14756765941871,872.5075091192087,F,<1 year,MORTGAGE,69774.80914694385,Source Verified,small_business,13.031181749824729,1,776,694,Fully Paid,0
28322,36 months,11.840666657041647,362.996407415708,G,1 year,RENT,113479.83066640553,Verified,credit_card,32.68001933990523,4,667,771,Fully Paid,0
25872,36 months,29.928112503942778,919.6931454795237,C,2-4 years,OWN,91177.32492779929,Source Verified,home_improvement,16.351720690846903,1,820,824,Fully Paid,0
5206,60 months,15.654532555899324,778.5657132371056,D,1 year,MORTGAGE,142691.15447788796,Not Verified,home_improvement,13.070923926201807,4,614,844,Current,1
26518,60 months,16.284675608241887,824.4160991572948,C,10+ years,MORTGAGE,52615.74114943362,Source Verified,credit_card,29.794614338651183,1,664,801,Fully Paid,1
27361,60 months,9.09059552979173,116.20590004040905,G,<1 year,OTHER,33073.155170847764,Verified,home_improvement,3.1861571048169157,4,653,869,Fully Paid,0
29105,60 months,24.870238718748233,966.5293213666233,E,5-9 years,OWN,71123.99306289798,Not Verified,car,1.9425089318264677,2,757,659,Fully Paid,0
28419,60 months,22.342055644537215,754.003892863291,F,<1 year,OWN,100172.65199408088,Not Verified,car,17.918147887247425,0,692,722,Fully Paid,0
22868,36 months,10.51924031971901,374.27598584751996,C,5-9 years,RENT,131903.86179901435,Source Verified,car,17.825552032886478,1,619,854,Fully Paid,1
29242,60 months,7.059526140396067,846.4551983729623,B,10+ years,OWN,65005.595268442594,Source Verified,home_improvement,35.8257661225534,2,632,697,Fully Paid,0
20934,60 months,22.012482551867826,353.3690785734369,F,10+ years,RENT,104992.27764618001,Verified,car,5.046123851512672,0,832,812,Fully Paid,1
